current_datetime,current_block_number,gas_price_Gwei,safe_gas_price,ProposeGasPrice,fast_gas_price,priority_safe,priority_propose,priority_fast,BaseFee
2023-04-23 15:42:33,17109972,44.274081813,45,45,45,0.819918186999999,0.819918186999999,0.819918186999999,44.180081813
2023-04-23 15:42:49,17109974,43.413681715,44,44,44,0.6803182849999985,0.6803182849999985,0.6803182849999985,43.319681715
2023-04-23 15:43:08,17109975,43.972255987,44,45,47,0.1217440129999971,1.1217440129999972,3.121744012999997,43.878255987
2023-04-23 15:43:16,17109976,44.645662529,45,45,49,0.4483374710000021,0.4483374710000021,4.448337471000002,44.551662529
2023-04-23 15:43:31,17109977,43.846794788,44,44,47,0.2472052119999972,0.2472052119999972,3.247205211999997,43.752794788
2023-04-23 15:43:39,17109978,43.846794788,44,44,47,0.2472052119999972,0.2472052119999972,3.247205211999997,43.752794788
2023-04-23 15:43:53,17109979,45.116246754,46,46,48,0.9777532459999988,0.9777532459999988,2.977753245999999,45.022246754
2023-04-23 15:44:10,17109980,43.753970366,44,44,46,0.3400296339999968,0.3400296339999968,2.340029633999997,43.659970366
2023-04-23 15:44:19,17109981,41.449658982,42,42,42,0.6443410179999987,0.6443410179999987,0.6443410179999987,41.355658982
2023-04-23 15:44:27,17109982,41.449658982,44,44,46,0.9511073119999978,0.9511073119999978,2.9511073119999978,43.048892688
2023-04-23 15:44:41,17109983,41.803894549,44,44,46,0.9511073119999978,0.9511073119999978,2.9511073119999978,43.048892688
2023-04-23 15:44:49,17109984,41.803894549,42,42,42,0.2901054510000023,0.2901054510000023,0.2901054510000023,41.709894549
2023-04-23 15:45:04,17109985,40.70553156,42,42,44,0.9877703650000028,0.9877703650000028,2.987770365000003,41.012229635
2023-04-23 15:45:24,17109986,43.230108439,46,46,49,0.6864764259999987,0.6864764259999987,3.686476425999999,45.313523574
2023-04-23 15:45:31,17109987,45.407523574,46,46,49,0.6864764259999987,0.6864764259999987,3.686476425999999,45.313523574
2023-04-23 15:45:38,17109988,43.505921544,44,44,47,0.5880784559999981,0.5880784559999981,3.588078455999998,43.411921544
2023-04-23 15:45:57,17109989,43.154422451,44,44,47,0.6030047280000019,0.6030047280000019,3.603004728000002,43.396995272
2023-04-23 15:46:13,17109991,43.994558092,44,44,46,0.0994419080000028,0.0994419080000028,2.099441908000003,43.900558092
2023-04-23 15:46:37,17109992,43.06005679,43,43,45,0.0339432099999967,0.0339432099999967,2.033943209999997,42.96605679
2023-04-23 15:46:45,17109993,43.031510142,43,43,45,0.0624898579999992,0.0624898579999992,2.0624898579999997,42.937510142
2023-04-23 15:46:53,17109994,44.914059116,45,45,49,0.1799408839999969,0.1799408839999969,4.179940883999997,44.820059116
2023-04-23 15:47:01,17109995,44.914059116,45,45,49,0.4191533830000011,0.4191533830000011,4.419153383000001,44.580846617
2023-04-23 15:47:16,17109996,44.674846617,51,51,52,0.8559882939999994,0.8559882939999994,1.8559882939999996,50.144011706
2023-04-23 15:47:30,17109997,48.930799108,49,49,50,0.163200891999999,0.163200891999999,1.163200891999999,48.836799108
2023-04-23 15:47:45,17109998,46.259001724,47,47,48,0.8349982760000003,0.8349982760000003,1.8349982760000003,46.165001724
2023-04-23 15:47:53,17109999,47.26811788,48,48,49,0.8258821200000028,0.8258821200000028,1.8258821200000028,47.17411788
2023-04-23 15:48:08,17110000,44.750591277,45,45,46,0.3434087230000031,0.3434087230000031,1.3434087230000031,44.656591277
2023-04-23 15:48:15,17110001,44.750591277,45,45,45,0.6590195530000003,0.6590195530000003,0.6590195530000003,44.340980447
2023-04-23 15:48:38,17110002,44.434980447,43,43,43,0.4975270380000012,0.4975270380000012,0.4975270380000012,42.502472962
2023-04-23 15:48:53,17110003,47.90582486,48,48,51,0.1881751399999984,0.1881751399999984,3.1881751399999985,47.81182486
2023-04-23 15:49:10,17110004,46.278068096,47,47,49,0.8159319040000028,0.8159319040000028,2.815931904000003,46.184068096
2023-04-23 15:49:17,17110005,52.031469161,52,52,53,0.0625308389999972,0.0625308389999972,1.0625308389999972,51.937469161
2023-04-23 15:49:33,17110006,52.799077688,53,53,54,0.2949223119999971,0.2949223119999971,1.294922311999997,52.705077688
2023-04-23 15:49:40,17110007,52.799077688,53,53,54,0.2949223119999971,0.2949223119999971,1.294922311999997,52.705077688
2023-04-23 15:49:56,17110008,57.698349141,58,58,59,0.3956508589999998,0.3956508589999998,1.395650859,57.604349141
2023-04-23 15:50:03,17110009,57.698349141,58,58,59,0.5214813190000029,0.5214813190000029,1.521481319000003,57.478518681
2023-04-23 15:50:18,17110010,55.84815881,56,56,58,0.2458411900000001,0.2458411900000001,2.24584119,55.75415881
2023-04-23 15:50:34,17110011,53.862183594,54,54,56,0.231816406,0.231816406,2.231816406,53.768183594
2023-04-23 15:50:41,17110012,52.497971415,54,54,56,0.231816406,0.231816406,2.231816406,53.768183594
2023-04-23 15:50:55,17110013,51.808587127,52,52,52,0.2854128729999985,0.2854128729999985,0.2854128729999985,51.714587127
2023-04-23 15:51:04,17110014,51.607597523,52,52,52,0.4864024769999986,0.4864024769999986,0.4864024769999986,51.513597523
2023-04-23 15:51:19,17110015,49.494333319,50,50,50,0.5996666810000022,0.5996666810000022,0.5996666810000022,49.400333319
2023-04-23 15:51:34,17110016,49.705948291,50,50,50,0.3880517090000026,0.3880517090000026,0.3880517090000026,49.611948291
2023-04-23 15:51:42,17110017,47.446484147,50,50,50,0.3880517090000026,0.3880517090000026,0.3880517090000026,49.611948291
2023-04-23 15:51:56,17110018,49.081572527,49,49,51,0.0124274730000024,0.0124274730000024,2.0124274730000025,48.987572527
2023-04-23 15:52:03,17110019,49.081572527,48,48,48,0.6529224849999977,0.6529224849999977,0.6529224849999977,47.347077515
2023-04-23 15:52:19,17110020,48.299948371,49,49,51,0.7940516290000019,0.7940516290000019,2.794051629000002,48.205948371
2023-04-23 15:52:33,17110021,48.164258268,48,48,52,0.5951094159999997,0.5951094159999997,4.595109416,47.404890584
2023-04-23 15:52:43,17110022,47.498890584,48,48,52,0.5951094159999997,0.5951094159999997,4.595109416,47.404890584
2023-04-23 15:52:50,17110023,47.498890584,48,48,52,0.5951094159999997,0.5951094159999997,4.595109416,47.404890584
2023-04-23 15:53:11,17110024,44.996339957,45,46,48,0.0976600429999976,1.0976600429999976,3.0976600429999976,44.902339957
2023-04-23 15:53:20,17110025,44.945376924,45,45,45,0.1486230759999998,0.1486230759999998,0.1486230759999998,44.851376924
2023-04-23 15:53:28,17110026,48.105070089,49,49,52,0.9889299109999996,0.9889299109999996,3.988929911,48.011070089
2023-04-23 15:53:45,17110027,48.52893382,49,49,52,0.5650661800000023,0.5650661800000023,3.5650661800000023,48.43493382
2023-04-23 15:53:52,17110028,48.52893382,47,47,49,0.0322059339999967,0.0322059339999967,2.0322059339999967,46.967794066
2023-04-23 15:54:06,17110029,45.925429425,46,46,49,0.1685705749999968,0.1685705749999968,3.168570574999997,45.831429425
2023-04-23 15:54:21,17110030,44.905936777,45,45,48,0.1880632230000003,0.1880632230000003,3.1880632230000003,44.811936777
2023-04-23 15:54:29,17110031,44.278952805,43,43,43,0.2125815360000018,0.2125815360000018,0.2125815360000018,42.787418464
2023-04-23 15:54:44,17110032,42.881418464,43,43,43,0.2125815360000018,0.2125815360000018,0.2125815360000018,42.787418464
2023-04-23 15:54:52,17110033,45.745257755,46,46,48,0.3487422449999968,0.3487422449999968,2.348742244999997,45.651257755
2023-04-23 15:55:13,17110034,51.447583943,52,52,53,0.6424160569999984,0.6424160569999984,1.6424160569999984,51.357583943
2023-04-23 15:55:21,17110035,49.596667418,50,50,51,0.4973325819999985,0.4973325819999985,1.4973325819999983,49.502667418
2023-04-23 15:55:36,17110036,48.227169752,49,49,50,0.8826190369999978,0.8826190369999978,1.8826190369999976,48.117380963
2023-04-23 15:55:44,17110037,48.207380963,49,49,50,0.8826190369999978,0.8826190369999978,1.8826190369999976,48.117380963
2023-04-23 15:55:59,17110038,45.895191644,46,46,47,0.1948083560000029,0.1948083560000029,1.194808356000003,45.805191644
2023-04-23 15:56:06,17110039,51.5589387,52,52,53,0.5310612999999975,0.5310612999999975,1.5310612999999975,51.4689387
2023-04-23 15:56:23,17110040,49.508854098,56,56,57,0.4158918179999986,0.4158918179999986,1.4158918179999986,55.584108182
2023-04-23 15:56:31,17110041,55.674108182,55,55,56,0.7603268760000006,0.7603268760000006,1.7603268760000006,54.239673124
2023-04-23 15:56:40,17110042,55.674108182,55,55,56,0.7603268760000006,0.7603268760000006,1.7603268760000006,54.239673124
2023-04-23 15:56:57,17110043,51.95722033,52,52,53,0.1327796699999979,0.1327796699999979,1.132779669999998,51.86722033
2023-04-23 15:57:06,17110044,49.81187021,50,50,51,0.2781297900000012,0.2781297900000012,1.2781297900000013,49.72187021
2023-04-23 15:57:21,17110045,50.362484399,51,51,53,0.7275156010000003,0.7275156010000003,2.7275156010000003,50.272484399
2023-04-23 15:57:30,17110046,48.618244106,49,49,49,0.4717558939999975,0.4717558939999975,0.4717558939999975,48.528244106
2023-04-23 15:57:47,17110047,47.510623735,48,48,48,0.5793762650000005,0.5793762650000005,0.5793762650000005,47.420623735
2023-04-23 15:57:54,17110048,46.006010418,46,46,46,0.0839895820000009,0.0839895820000009,0.0839895820000009,45.916010418
2023-04-23 15:58:02,17110049,46.006010418,46,46,46,0.3240315970000011,0.3240315970000011,0.3240315970000011,45.675968403
2023-04-23 15:58:23,17110050,47.436751554,47,47,49,0.1493410010000033,0.1493410010000033,2.149341001000004,46.850658999
2023-04-23 15:58:31,17110051,46.940658999,47,47,49,0.1493410010000033,0.1493410010000033,2.149341001000004,46.850658999
2023-04-23 15:58:49,17110053,45.706609128,46,46,48,0.3833908719999996,0.3833908719999996,2.383390872,45.616609128
2023-04-23 15:59:06,17110054,43.421746931,44,44,46,0.6682530690000021,0.6682530690000021,2.668253069000002,43.331746931
2023-04-23 15:59:13,17110055,43.421746931,43,43,43,0.5492062610000019,0.5492062610000019,0.5492062610000019,42.450793739
2023-04-23 15:59:28,17110056,42.857915672,43,43,43,0.2320843279999991,0.2320843279999991,0.2320843279999991,42.767915672
2023-04-23 15:59:44,17110057,41.98471601,42,42,42,0.1052839899999966,0.1052839899999966,0.1052839899999966,41.89471601
2023-04-23 15:59:53,17110058,46.8935534,42,42,42,0.1052839899999966,0.1052839899999966,0.1052839899999966,41.89471601
2023-04-23 16:00:07,17110059,52.742163655,53,53,54,0.3478363449999975,0.3478363449999975,1.3478363449999975,52.652163655
2023-04-23 16:00:16,17110060,52.742163655,51,51,52,0.4429308739999982,0.4429308739999982,1.4429308739999982,50.557069126
2023-04-23 16:00:35,17110061,52.039362359,50,50,51,0.3279604530000028,0.3279604530000028,1.3279604530000029,49.672039547
2023-04-23 16:00:51,17110062,49.762039547,50,50,51,0.3279604530000028,0.3279604530000028,1.3279604530000029,49.672039547
2023-04-23 16:00:58,17110063,50.559943456,51,51,52,0.5300565439999971,0.5300565439999971,1.5300565439999971,50.469943456
2023-04-23 16:01:15,17110065,48.140503951,47,48,48,0.2022295459999981,1.202229545999998,1.202229545999998,46.797770454
2023-04-23 16:01:35,17110066,48.621151682,47,47,49,0.4387184619999971,0.4387184619999971,2.438718461999997,46.561281538
2023-04-23 16:01:43,17110067,46.651281538,47,47,49,0.4387184619999971,0.4387184619999971,2.438718461999997,46.561281538
2023-04-23 16:01:58,17110068,46.104097238,47,47,47,0.985902762000002,0.985902762000002,0.985902762000002,46.014097238
2023-04-23 16:02:13,17110069,44.798036937,45,45,47,0.1486138220000015,0.1486138220000015,2.148613822000001,44.851386178
2023-04-23 16:02:21,17110070,44.951386178,45,45,47,0.1486138220000015,0.1486138220000015,2.148613822000001,44.851386178
2023-04-23 16:02:30,17110071,43.564705033,44,44,44,0.5352949669999987,0.5352949669999987,0.5352949669999987,43.464705033
2023-04-23 16:02:45,17110072,48.991316196,49,50,52,0.1086838040000017,1.1086838040000018,3.1086838040000018,48.891316196
2023-04-23 16:03:01,17110073,46.07824446,46,46,49,0.0217555400000009,0.0217555400000009,3.021755540000001,45.97824446
2023-04-23 16:03:09,17110074,51.624486293,52,52,55,0.4755137069999975,0.4755137069999975,3.475513706999997,51.524486293
2023-04-23 16:03:21,17110075,51.002719278,51,52,54,0.0972807220000007,1.0972807220000007,3.0972807220000007,50.902719278
2023-04-23 16:03:31,17110076,51.771825855,52,52,55,0.3281741449999984,0.3281741449999984,3.3281741449999984,51.671825855
2023-04-23 16:03:40,17110077,51.771825855,50,50,52,0.0312478130000002,0.0312478130000002,2.031247813,49.968752187
2023-04-23 16:03:49,17110078,50.068752187,50,50,52,0.0312478130000002,0.0312478130000002,2.031247813,49.968752187
2023-04-23 16:04:08,17110079,48.606911046,49,49,51,0.4930889540000009,0.4930889540000009,2.493088954000001,48.506911046
2023-04-23 16:04:25,17110080,47.162939937,47,47,47,0.1166573400000032,0.1166573400000032,0.1166573400000032,46.88334266
2023-04-23 16:04:34,17110081,46.98334266,47,47,47,0.5471472239999997,0.5471472239999997,0.5471472239999997,46.452852776
2023-04-23 16:04:42,17110082,46.552852776,53,53,54,0.7520806770000021,0.7520806770000021,1.752080677000002,52.247919323
2023-04-23 16:04:52,17110083,52.347919323,53,53,54,0.7520806770000021,0.7520806770000021,1.752080677000002,52.247919323
2023-04-23 16:05:09,17110084,49.406122431,50,50,51,0.6938775690000014,0.6938775690000014,1.6938775690000014,49.306122431
2023-04-23 16:05:19,17110085,48.229949123,48,48,49,0.8619100599999996,0.8619100599999996,1.86191006,47.13808994
2023-04-23 16:05:29,17110086,48.229949123,48,48,49,0.8619100599999996,0.8619100599999996,1.86191006,47.13808994
2023-04-23 16:05:36,17110087,47.23808994,47,47,48,0.7031481969999973,0.7031481969999973,1.7031481969999973,46.296851803
2023-04-23 16:05:54,17110088,45.172194748,46,46,46,0.9278052519999987,0.9278052519999987,0.9278052519999987,45.072194748
2023-04-23 16:06:11,17110089,46.341642795,45,45,45,0.3219952350000028,0.3219952350000028,0.3219952350000028,44.678004765
2023-04-23 16:06:22,17110090,44.778004765,45,45,47,0.5372184909999973,0.5372184909999973,2.5372184909999973,44.462781509
2023-04-23 16:06:30,17110091,44.562781509,45,45,47,0.5372184909999973,0.5372184909999973,2.5372184909999973,44.462781509
2023-04-23 16:06:40,17110092,44.562781509,46,46,47,0.0510081500000012,0.0510081500000012,1.0510081500000013,45.94899185
2023-04-23 16:06:56,17110093,45.640918088,46,46,49,0.459081912000002,0.459081912000002,3.459081912000002,45.540918088
2023-04-23 16:07:05,17110094,44.760879695,45,45,47,0.3391203050000015,0.3391203050000015,2.3391203050000016,44.660879695
2023-04-23 16:07:20,17110095,43.837965594,44,44,46,0.847228702999999,0.847228702999999,2.847228702999999,43.152771297
2023-04-23 16:07:31,17110096,43.252771297,44,44,46,0.847228702999999,0.847228702999999,2.847228702999999,43.152771297
2023-04-23 16:07:41,17110097,43.252771297,48,48,51,0.9250244139999992,0.9250244139999992,3.9250244139999992,47.074975586
2023-04-23 16:07:58,17110098,46.906744337,47,47,50,0.1932556630000022,0.1932556630000022,3.193255663000002,46.806744337
2023-04-23 16:08:07,17110099,46.898637409,47,47,50,0.2013625909999987,0.2013625909999987,3.2013625909999988,46.798637409
2023-04-23 16:08:14,17110100,46.898637409,47,47,50,0.2013625909999987,0.2013625909999987,3.2013625909999988,46.798637409
2023-04-23 16:08:26,17110101,44.761165414,49,49,52,0.706719532000001,0.706719532000001,3.706719532000001,48.293280468
2023-04-23 16:08:41,17110102,46.544154504,47,47,49,0.5558454960000034,0.5558454960000034,2.5558454960000034,46.444154504
2023-04-23 16:09:00,17110103,45.979316179,46,46,48,0.120683821,0.120683821,2.120683821,45.879316179
2023-04-23 16:09:10,17110104,49.525273471,50,50,53,0.574726529000003,0.574726529000003,3.574726529000003,49.425273471
2023-04-23 16:09:18,17110105,47.733887385,48,48,51,0.3661126149999987,0.3661126149999987,3.3661126149999987,47.633887385
2023-04-23 16:09:32,17110106,45.20992358,45,45,48,0.4012928880000004,0.4012928880000004,3.4012928880000004,44.598707112
2023-04-23 16:09:41,17110107,44.692707113,45,45,48,0.4012928880000004,0.4012928880000004,3.4012928880000004,44.598707112
2023-04-23 16:09:59,17110109,45.35367742,46,46,49,0.7403225810000009,0.7403225810000009,3.740322581000001,45.259677419
2023-04-23 16:10:15,17110110,43.710524455,44,44,44,0.3834755459999996,0.3834755459999996,0.3834755459999996,43.616524454
2023-04-23 16:10:33,17110111,45.833976179,45,45,48,0.8496248679999994,0.8496248679999994,3.849624868,44.150375132
2023-04-23 16:10:41,17110112,44.244375133,45,45,48,0.8496248679999994,0.8496248679999994,3.849624868,44.150375132
2023-04-23 16:11:00,17110113,43.477472816,45,45,48,0.3125750889999992,0.3125750889999992,3.312575088999999,44.687424911
2023-04-23 16:11:09,17110114,44.781424912,45,45,48,0.3125750889999992,0.3125750889999992,3.312575088999999,44.687424911
2023-04-23 16:11:24,17110115,43.417525943,44,44,46,0.6824740570000003,0.6824740570000003,2.6824740570000003,43.317525943
2023-04-23 16:11:32,17110116,48.825471786,49,50,52,0.274528214,1.274528214,3.274528214,48.725471786
2023-04-23 16:11:48,17110117,49.456730169,51,51,53,0.8429936389999995,0.8429936389999995,2.8429936389999995,50.157006361
2023-04-23 16:11:57,17110118,50.257006361,51,51,53,0.8429936389999995,0.8429936389999995,2.8429936389999995,50.157006361
2023-04-23 16:12:04,17110119,48.513942553,51,51,53,0.8429936389999995,0.8429936389999995,2.8429936389999995,50.157006361
2023-04-23 16:12:21,17110120,48.943592893,49,49,52,0.1564071069999997,0.1564071069999997,3.156407107,48.843592893
2023-04-23 16:12:30,17110121,47.708127181,48,48,50,0.3918728189999996,0.3918728189999996,2.391872819,47.608127181
